id,adult,title,video,overview,softcore,genre_ids,popularity,vote_count,poster_path,release_date,vote_average,backdrop_path,original_title,original_language
423,False,The Pianist,False,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",False,"[18, 10752]",12.6639,10127,/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,2002-09-17,8.375,/c0fB9xk7D1aVb3Bg2rk2SVJcGn.jpg,The Pianist,en
27205,False,Inception,False,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",False,"[28, 878, 12]",37.8759,39255,/xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg,2010-07-15,8.372,/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg,Inception,en
12493,False,High and Low,False,A Yokohama shoe executive faces a wrenching choice when kidnappers mistakenly seize his chauffeur’s son but demand the ransom anyway.,False,"[18, 80, 53]",8.2656,1122,/tgNjemQPG96uIezpiUiXFcer5ga.jpg,1963-03-01,8.4,/A62quSOB8otoZvGiLvMVZ9G4BiO.jpg,天国と地獄,ja
1218925,False,Chainsaw Man - The Movie: Reze Arc,False,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",False,"[16, 28, 10749, 14]",27.2321,879,/pHyxb2RV5wLlboAwm9ZJ9qTVEDw.jpg,2025-09-19,8.4,/rI4waA7VlRAynrYUUpiPScsdPm8.jpg,劇場版 チェンソーマン レゼ篇,ja
724089,False,Gabriel's Inferno: Part II,False,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",False,"[10749, 18]",2.6675,1553,/x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg,2020-07-31,8.3,/jtAI6OJIWLWiRItNSZoWjrsUtmi.jpg,Gabriel's Inferno: Part II,en
274,False,The Silence of the Lambs,False,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",False,"[80, 53, 18]",4.4798,17966,/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,1991-02-14,8.345,/aYcnDyLMnpKce1FOYUpZrXtgUye.jpg,The Silence of the Lambs,en
567,False,Rear Window,False,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,False,"[53, 9648, 18]",10.1552,7154,/ILVF0eJxHMddjxeQhswFtpMtqx.jpg,1954-08-01,8.339,/zZvtZZXRnZ4Tdcs0QEWaZZcIWy8.jpg,Rear Window,en
761053,False,Gabriel's Inferno: Part III,False,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,False,"[10749, 18]",6.4521,1088,/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg,2020-11-19,8.3,/cY9X3gHcu4zK9vAy3s77xyorm0d.jpg,Gabriel's Inferno: Part III,en
569094,False,Spider-Man: Across the Spider-Verse,False,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",False,"[16, 28, 12, 878]",27.8027,8599,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,2023-05-31,8.335,/9xfDWXAUbFXQK585JvByT5pEAhe.jpg,Spider-Man: Across the Spider-Verse,en
73,False,American History X,False,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",False,[18],11.7217,12564,/x2drgoXYZ8484lqyDj7L1CEVR4T.jpg,1998-07-01,8.328,/6qHI1IYj7QlLSCwHRzkL62X175s.jpg,American History X,en
1058694,False,Radical,False,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius.",False,[18],5.0591,503,/lOAJYpX608aT0ApIv63ZTnol27Y.jpg,2023-10-19,8.327,/gutU32BiBxJvJdzLv5RWC9hQhNh.jpg,Radical,es
105,False,Back to the Future,False,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",False,"[12, 35, 878]",21.6549,21792,/vN5B5WgYscRGcQpVhHl6p9DDTP0.jpg,1985-07-03,8.326,/5bzPWQ2dFUl2aZKkp7ILJVVkRed.jpg,Back to the Future,en
128,False,Princess Mononoke,False,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",False,"[12, 14, 16]",12.9278,8967,/cMYCDADoLKLbB83g4WnJegaZimC.jpg,1997-07-12,8.321,/gl0jzn4BupSbL2qMVeqrjKkF9Js.jpg,もののけ姫,ja
1184918,False,The Wild Robot,False,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",False,"[10751, 16, 878, 12]",28.5476,6084,/eG9lz41mJqsI4J6ubMtVqD26q2J.jpg,2024-09-12,8.31,/mQZJoIhTEkNhCYAqcHrQqhENLdu.jpg,The Wild Robot,en
3782,False,Ikiru,False,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",False,[18],7.255,1343,/dgNTS4EQDDVfkzJI5msKuHu2Ei3.jpg,1952-10-09,8.3,/stiGp1XzkLSYdUUEWTyQOZRkr49.jpg,生きる,ja
