price,address,bedrooms,per_month
"$800,000","1035 N Kingsbury St , Chicago, IL 60610",3.0,"$5,399 per month"
"$230,000","4730 N Kenneth Ave , Chicago, IL 60630",2.0,"$1,497 per month"
"$699,000","817 W Washington Blvd #103 , Chicago, IL 60607",2.0,"$4,546 per month"
"$425,000","4627 N Kenmore Ave Unit 1E , Chicago, IL 60640",2.0,"$2,736 per month"
"$2,795,000","1639 N Dayton St , Chicago, IL 60614",6.0,"$17,838 per month"
"$4,100,000","2120 N Lincoln Park W #15 , Chicago, IL 60614",3.0,"$29,543 per month"
"$475,000","5400 S Hyde Park Blvd Unit B12 , Chicago, IL 60615",3.0,"$3,062 per month"
"$899,000","1347 W Grand Ave Unit 2N , Chicago, IL 60642",3.0,"$5,661 per month"
"$310,000","1305 S Michigan Ave #1709 , Chicago, IL 60605",1.0,"$2,117 per month"
"$995,000","3315 S Prairie Ave , Chicago, IL 60616",5.0,"$5,502 per month"
"$2,700,000","110 W Superior St #2200 , Chicago, IL 60654",5.0,"$18,838 per month"
"$360,000","3125 N Lincoln Ave Unit C , Chicago, IL 60657",3.0,"$2,321 per month"
"$437,500","1901 S Calumet Ave #1206 , Chicago, IL 60616",2.0,"$3,197 per month"
"$999,000","1347 W Grand Ave Unit 3S , Chicago, IL 60642",3.0,"$6,291 per month"
"$1,550,000","2641 N Marshfield Ave , Chicago, IL 60614",4.0,"$10,398 per month"
"$420,000","5364 N Normandy Ave , Chicago, IL 60656",3.0,"$2,837 per month"
"$359,900","1221 E Hyde Park Blvd #1 , Chicago, IL 60615",3.0,"$2,913 per month"
"$749,500","5911 N Keating Ave , Chicago, IL 60646",4.0,"$4,952 per month"
"$2,650,000","2714 N Greenview Ave , Chicago, IL 60614",5.0,"$17,998 per month"
"$320,000","1636 N Wells St #1709 , Chicago, IL 60614",1.0,"$3,061 per month"
"$775,000","3032 W Lyndale St Unit 2W , Chicago, IL 60647",3.0,"$5,177 per month"
