wins,goals_for,team_name,win_percent,goals_against,goal_difference
0.32608695652173914,0.5573770491803278,6,0.3145869947275922,0.6354515050167224,
0.5,0.44262295081967207,7,0.4815465729349737,0.3946488294314382,
0.3695652173913043,0.4180327868852459,8,0.35500878734622143,0.5785953177257526,
0.3695652173913043,0.6926229508196722,9,0.35500878734622143,0.6923076923076923,
0.6739130434782609,0.6475409836065573,12,0.648506151142355,0.4448160535117057,
0.8043478260869564,0.7418032786885247,13,0.7750439367311074,0.3511705685618729,
0.5652173913043478,0.6434426229508197,14,0.5448154657293498,0.4983277591973244,
0.9130434782608695,0.7131147540983607,15,0.8787346221441125,0.38795986622073586,
0.08695652173913046,0.3114754098360656,16,0.08435852372583483,0.9431438127090301,
0.5434782608695652,0.6926229508196722,17,0.523725834797891,0.6655518394648829,
0.7391304347826088,0.7131147540983607,18,0.7117750439367312,0.5685618729096991,
0.26086956521739135,0.020491803278688492,1,0.5957820738137083,0.013377926421404729,
0.30434782608695654,0.15573770491803274,2,0.6695957820738138,0.06688963210702342,
0.30434782608695654,0.12704918032786883,3,0.6695957820738138,0.0,
0.15217391304347824,0.04508196721311475,4,0.4130052724077329,0.06688963210702342,
0.5,0.22540983606557374,5,0.9999999999999999,0.006688963210702392,
