rank,change,country,un_region,un_subregion,population_2022,population_2023
Country or territory Population (1 July 2022) Population (1 July 2023) Change (%),,,,,,
,−0.20%,Italy,Europe,Southern Europe,"59,619,115","59,499,453"
,+2.00%,Kenya,Africa,Eastern Africa,"54,252,461","55,339,003"
,+0.70%,Myanmar,Asia,South-eastern Asia,"53,756,787","54,133,798"
,+1.13%,Colombia,Americas,South America,"51,737,944","52,321,152"
,−0.07%,South Korea,Asia,Eastern Asia,"51,782,512","51,748,739"
,+1.34%,Sudan,Africa,Northern Africa,"49,383,346","50,042,791"
,+2.84%,Uganda,Africa,Eastern Africa,"47,312,719","48,656,601"
,+0.17%,Spain d,Europe,Southern Europe,"47,828,382","47,911,579"
,+1.51%,Algeria,Africa,Northern Africa,"45,477,389","46,164,219"
,+0.29%,Argentina,Americas,South America,"45,407,904","45,538,401"
,+2.28%,Iraq,Asia,Western Asia,"44,070,551","45,074,049"
,+2.16%,Afghanistan,Asia,Southern Asia,"40,578,842","41,454,761"
,+3.06%,Yemen,Asia,Western Asia,"38,222,876","39,390,799"
,+1.23%,Canada,Americas,Northern America,"38,821,259","39,299,105"
,+0.98%,Poland,Europe,Eastern Europe,"38,385,739","38,762,844"
,−8.08%,Ukraine e,Europe,Eastern Europe,"41,048,766","37,732,836"
,+1.03%,Morocco,Africa,Northern Africa,"37,329,064","37,712,505"
,+3.13%,Angola,Africa,Middle Africa,"35,635,029","36,749,906"
,+2.04%,Uzbekistan,Asia,Central Asia,"34,938,955","35,652,307"
,+1.24%,Malaysia,Asia,South-eastern Asia,"34,695,493","35,126,298"
,+1.11%,Peru,Americas,South America,"33,475,438","33,845,617"
,+1.93%,Ghana,Africa,Western Africa,"33,149,152","33,787,914"
,+3.00%,Mozambique,Africa,Eastern Africa,"32,656,246","33,635,160"
,+0.28%,Saudi Arabia,Asia,Western Asia,"32,175,352","32,264,292"
,+2.49%,Madagascar,Africa,Eastern Africa,"30,437,261","31,195,932"
,+2.54%,Ivory Coast,Africa,Western Africa,"30,395,002","31,165,654"
,+0.84%,Nepal,Asia,Southern Asia,"29,715,436","29,964,614"
